filename,class,family
000b14d01e2416f3c4b8d260a20021ec477f543993e1f4041f0efd7c95f00bfb,0,na
002f4f25130c0090b7b8ece3e3b41a3e082e224f77159e665d67e3d64a358c85,0,na
004679da462ba3ca1fff77c8d8e1f5a057f2eaf30f0feb3f07320992619ff9d1,0,na
0081079f409a40cbb81c5a3b47dd56242bcda516aeb79ec13a13b0e913162d39,0,na
00b04c9a5966b0d64c135ee3894a9410ecafb097a6b342619274b16d7fea4c4e,0,na
00b28b5428689c82cda142420f220c2be821eaf913fc951187a7099f39e6fa0e,0,na
00b838179a351a6cfd77af944c35a1758dfaa0a6ddba04fc423f3d6409e50ee4,0,na
00cb6d24d37ee40bef1c9ac231880b50bcf45c554ef863ed4f16554de6720885,0,na
0197da116526f568fe9cad21917655f91f1d61d50ac047f30aabfb5000dd0db6,0,na
01b3ef32592684bd68fee61e6eaa7a88dbcb6a124dd5aca356907a95e24e118c,0,na
01b5f64f111ca3b351279576cf7a700ec0b6360b2963b781412c0e980fa159c7,0,na
0200c67fb55a61fe80cf1bac621775cdef4b817ee1bafc53b7c97bdd97907941,0,na
02029af3546110def39c8edb052787f8b6f14419ca00b90961346f78209de589,0,na
0208b18b822c3c6751be2356e13c5600ed1071e9d076a8171deacf3191a30766,0,na
02450e4d2baa2c7c14691f4d42a8cd9fa7330e12836859471a9fafe0b083b963,0,na
02cd4937d07bee9e747e950c26a73e5fe8b5f4398dc0948c09f45f63f6110ed8,0,na
02d4a8c4b1377b4fe50ba287ed8936588b57cb873b4977880c9e2e1b4f148c7e,0,na
02fd415b878d33ad365ac1c8f45b4b16489eaecfc909ff67e618c6b872ab44b2,0,na
03511c1ad8615596fe4eea20f9c59e542cf99b216287bfc4b9145bf7d0374874,0,na
03648a6144d59cbfd5cf6672b6df9ab18351b83d47087155dbb86fe555a06af7,0,na
03840ab5d30d03c08e97fb95db8279ed1f0783127eb02e9ede555b99c48936bf,0,na
03bc3e8742756497c36bee23a1acbf5433a7089b977cab9a46e7077329f68156,0,na
03c6b9cdd4dabf312c25396a96016544787d1841d69c8d4843a3549bed23a226,0,na
03ca4d036102b0c22bef1ac3b5c580560007eb90fb647fd6b8513f91eece294d,0,na
03d0714287f0dae121320d8509bc7ee09d27cc108c24a1b220efd8744cf2db63,0,na
040bf6cd858e239543bc0a8aebb0c8b041f429ed8ce1d03ea77fb6354f2323d3,0,na
040ce1543a480785ab71a6bc3e7cd739d1fe451187fc0e623f60f9d2408ffbe3,0,na
041932b19d7e34e31b9793ce58ea165b146ccfa64e5098315ff2b5ef8ea3be74,0,na
046287d45c0c20bc3e3e8e1db55f33369bf682117d3118c88a021f1352b5bf4a,0,na
048d280844707c694d1bf99f5b10566cf8298e50ad65f1dc85f53ad86b35d13c,0,na
0494abd5a99353458208dd8f83f91ea8f5c2414164ce31eab0856174f5547a65,0,na
04b2421387d31deb0d16d739d92aceefb43fc4d98a82130ab597c1121c1cd72b,0,na
04b30790b2b62b5e03a2a995ecf04689241e16f17b8a7b9a2726f8c875ba290e,0,na
04bd3ad19ddbcebae4af3de9d9211d0d535db1d69d7d08c524e7d3555a120cd4,0,na
04c8d84c746f55d9740186d5e822df10bcf97967f8355908d50325ec990b426f,0,na
04d7c260b5093751c33e2e42c900322104d370aed8cb6de61fc07757042cbc5e,0,na
05084126a445d6eef9beea8ff8a692108a4b6a87d053c29fbf91504fb955439f,0,na
0522a00c52ca6a1e2f5a01098447864b539481f42638f6b2696e3e4bf6863a23,0,na
055641bc76d8c6decff2ac73ead2deb8b2ffe2fb7659859484ab879bde41d70d,0,na
056de2bbaa1519c810ad2cfa6c50f7dd463dd77e035a14f3887f7dbb04356d12,0,na
05e5be4106b952f419ec220aaba4f050919e7015b7d864d17b1a948f6aaf7c6e,0,na
05eb89faef3363c84c1dad8e6d06d683656924f54c35475444d930dc0b1817a7,0,na
065395f6aa33744c47c96db36bab95f155f1c2656316f9670e3f0b3e117de785,0,na
06cb18f4ad12a3b25f6aef34bf2008a7353ffccb9b68b167008555411f8597b2,0,na
0707dfef58b177e0de7b3ca711711280a19cc12682d49c4fc8d72ce9894c26e4,0,na
070a5c26d4f82b9ab42d29bcb0e85c8d6d32757ec7201490ba1d3a25184d2b84,0,na
070d7aad6c4c44cc7c606618cb76a64c50fcbb6e3280fd3d9b0f93617a1b55dd,0,na
0731d4ae2ab398ff37463fd907c7ea25a9d7d327bb6286118800b278ad5bec8e,0,na
0753ead28d2872fa156779ab935a073779f116025ea7e9204e64447b30e83b05,0,na
079d05dfe21a1772c366429c450e3ca75005bf24daba78e65f06a764d7f71cd9,0,na
07daf6d57ab9fd386634e5914fe68c168f9eb8f8539880879afa930e9904e1b0,0,na
07f03b0066b99bea7cf83cae09b77955e735ba485630da5bbe59800c7ba2fa2f,0,na
07ff24817b319b2f3b860a416afbb78cb33b4b3bf6a5d16f17293c23c022b149,0,na
08256361c7770e154f0350857d7de7ebdf433a3975787b4e5c800d0fd89b4999,0,na
08aa8dcac59978a99ddf978661ddc407af11bc94400c260bd7e901563ce0179e,0,na
08b6e2c5e85e9f2af4eb5d230af709c2bc3d502a49920f489208b601c6d06781,0,na
08b8dd773d9b90264b924629f7ba2e490e5038c2fb00cc762a3adfae968870b2,0,na
08ba51b5cb72fa2c5f4dd6258a68b3d32078f7201a0a28cf3f1050540b1b77b1,0,na
08c37b710aed61fbfc0401e362915a3dd79d12040a31a4e05156bd524da3274d,0,na
090bfc88e3699f0f79e34e6305ee24392744618ffff29eac24e8da37aa473170,0,na
094aa933d9258a70479450539ec3017c8ac9ed3955a6a0eff2d7a2a7162aaf93,0,na
099c5a767a01670086dbe432005a2dd15d185f8720650e505cb0fb0d5289e263,0,na
09a0971ac8c39a38f8658ff55136aed61a7f0fde03a6fafbc2c734dfac818b24,0,na
0a04aed75daeb472f1785741a57600eac65a7e2ebbad305b3be1ac77e1af658a,0,na
0a0d088f60964eebbf91a8f5a6d7d3d88552fe9a8833fe161fed1d5a943aa3a3,0,na
